EquipoLocal,EquipoVisitante,Año,GolesLocal,GolesVisitante,GolesTotales
Colombia,Honduras,2001,2,0,2
Uruguay,Honduras,2001,2,2,4
México,Colombia,2001,0,1,1
Venezuela,Colombia,2004,0,1,1
Perú,Bolívia,2004,2,2,4
Colombia,Bolívia,2004,1,0,1
Perú,Venezuela,2004,3,1,4
Venezuela,Bolívia,2004,1,1,2
Perú,Colombia,2004,2,2,4
México,Uruguay,2004,2,2,4
Argentina,Ecuador,2004,6,1,7
Uruguay,Ecuador,2004,2,1,3
Argentina,México,2004,0,1,1
México,Ecuador,2004,2,1,3
Argentina,Uruguay,2004,4,2,6
Costa Rica,Paraguay,2004,0,1,1
Brasil,Chile,2004,1,0,1
Brasil,Costa Rica,2004,4,1,5
Paraguay,Chile,2004,1,1,2
Costa Rica,Chile,2004,2,1,3
Brasil,Paraguay,2004,1,2,3
Perú,Argentina,2004,0,1,1
Colombia,Costa Rica,2004,2,0,2
Paraguay,Uruguay,2004,1,3,4
México,Brasil,2004,0,4,4
Argentina,Colombia,2004,3,0,3
Brasil,Uruguay,2004,1,1,2
Colombia,Uruguay,2004,1,2,3
Argentina,Brasil,2004,2,2,4
Uruguay,Perú,2007,0,3,3
Venezuela,Bolívia,2007,2,2,4
Bolívia,Uruguay,2007,0,1,1
Venezuela,Perú,2007,2,0,2
Perú,Bolívia,2007,2,2,4
Venezuela,Uruguay,2007,0,0,0
Ecuador,Chile,2007,2,3,5
Brasil,México,2007,0,2,2
Brasil,Chile,2007,3,0,3
México,Ecuador,2007,2,1,3
México,Chile,2007,0,0,0
Brasil,Ecuador,2007,1,0,1
Paraguay,Colombia,2007,5,0,5
Argentina,Estados Unidos,2007,4,1,5
Estados Unidos,Paraguay,2007,1,3,4
Argentina,Colombia,2007,4,2,6
Colombia,Estados Unidos,2007,1,0,1
Argentina,Paraguay,2007,1,0,1
Venezuela,Uruguay,2007,1,4,5
Chile,Brasil,2007,1,6,7
México,Paraguay,2007,6,0,6
Argentina,Perú,2007,4,0,4
Uruguay,Brasil,2007,2,2,4
México,Argentina,2007,0,3,3
Uruguay,México,2007,1,3,4
Brasil,Argentina,2007,3,0,3
Colombia,Perú,2011,0,2,2
Argentina,Uruguay,2011,1,1,2
Brasil,Paraguay,2011,0,0,0
Chile,Venezuela,2011,1,2,3
Perú,Uruguay,2011,0,2,2
Paraguay,Venezuela,2011,0,0,0
Perú,Venezuela,2011,4,1,5
Uruguay,Paraguay,2011,3,0,3
Chile,Uruguay,2015,1,0,1
Bolívia,Perú,2015,1,3,4
Argentina,Colombia,2015,0,0,0
Brasil,Paraguay,2015,1,1,2
Chile,Perú,2015,2,1,3
Argentina,Paraguay,2015,6,1,7
Perú,Paraguay,2015,2,0,2
Chile,Argentina,2015,0,0,0
Estados Unidos,Colombia,2016,0,2,2
Costa Rica,Paraguay,2016,0,0,0
Estados Unidos,Costa Rica,2016,4,0,4
Colombia,Paraguay,2016,2,1,3
Estados Unidos,Paraguay,2016,1,0,1
Colombia,Costa Rica,2016,2,3,5
Haiti,Perú,2016,0,1,1
Brasil,Ecuador,2016,0,0,0
Brasil,Haiti,2016,7,1,8
Ecuador,Perú,2016,2,2,4
Ecuador,Haiti,2016,4,0,4
Brasil,Perú,2016,0,1,1
Jamaica,Venezuela,2016,0,1,1
México,Uruguay,2016,3,1,4
Uruguay,Venezuela,2016,0,1,1
México,Jamaica,2016,2,0,2
México,Venezuela,2016,1,1,2
Uruguay,Jamaica,2016,3,0,3
Panamá,Bolívia,2016,2,1,3
Argentina,Chile,2016,2,1,3
Chile,Bolívia,2016,2,1,3
Argentina,Panamá,2016,5,0,5
Chile,Panamá,2016,4,2,6
Argentina,Bolívia,2016,3,0,3
Estados Unidos,Ecuador,2016,2,1,3
Perú,Colombia,2016,0,0,0
Argentina,Venezuela,2016,4,1,5
México,Chile,2016,0,7,7
Estados Unidos,Argentina,2016,0,4,4
Colombia,Chile,2016,0,2,2
Estados Unidos,Colombia,2016,0,1,1
Argentina,Chile,2016,0,0,0
Brasil,Bolívia,2019,3,0,3
Venezuela,Perú,2019,0,0,0
Bolívia,Perú,2019,1,3,4
Brasil,Venezuela,2019,0,0,0
Perú,Brasil,2019,0,5,5
Bolívia,Venezuela,2019,1,3,4
Argentina,Colombia,2019,0,2,2
Paraguay,Catar,2019,2,2,4
Colombia,Catar,2019,1,0,1
Argentina,Paraguay,2019,1,1,2
Catar,Argentina,2019,0,2,2
Colombia,Paraguay,2019,1,0,1
Uruguay,Ecuador,2019,4,0,4
Japón,Chile,2019,0,4,4
Uruguay,Japón,2019,2,2,4
Ecuador,Chile,2019,1,2,3
Chile,Uruguay,2019,0,1,1
Ecuador,Japón,2019,1,1,2
Brasil,Paraguay,2019,0,0,0
Venezuela,Argentina,2019,0,2,2
Colombia,Chile,2019,0,0,0
Uruguay,Perú,2019,0,0,0
Brasil,Argentina,2019,2,0,2
Chile,Perú,2019,0,3,3
Argentina,Chile,2019,2,1,3
Brasil,Perú,2019,3,1,4
Argentina,Chile,2021,1,1,2
Paraguay,Bolívia,2021,3,1,4
Chile,Bolívia,2021,1,0,1
Argentina,Uruguay,2021,1,0,1
Uruguay,Chile,2021,1,1,2
Argentina,Paraguay,2021,1,0,1
Bolívia,Uruguay,2021,0,2,2
Chile,Paraguay,2021,0,2,2
Uruguay,Paraguay,2021,1,0,1
Bolívia,Argentina,2021,1,4,5
Brasil,Venezuela,2021,3,0,3
Colombia,Ecuador,2021,1,0,1
Colombia,Venezuela,2021,0,0,0
Brasil,Perú,2021,4,0,4
Venezuela,Ecuador,2021,2,2,4
Colombia,Perú,2021,1,2,3
Ecuador,Perú,2021,2,2,4
Brasil,Colombia,2021,2,1,3
Brasil,Ecuador,2021,1,1,2
Venezuela,Perú,2021,0,1,1
Perú,Paraguay,2021,3,3,6
Brasil,Chile,2021,1,0,1
Uruguay,Colombia,2021,0,0,0
Argentina,Ecuador,2021,3,0,3
Brasil,Perú,2021,1,0,1
Argentina,Colombia,2021,1,1,2
Colombia,Perú,2021,3,2,5
Argentina,Brasil,2021,1,0,1
